,category,sub_category,crimeaditionalinfo
433,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
203,Online and Social Media Related Crime,Intimidating Email,I am getting continuous intimidating emails from an unknown sender. They are saying they will harm my family if I don’t respond. The email ID is dangeralert@gmail.com. Please take action.
660,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"I clicked on a suspicious link sent by a friend on WhatsApp, and now my Facebook account is compromised. Please assist me in recovering it."
1146,Hacking  Damage to computercomputer system etc,Email Hacking,"Mujhe pata chala ki mera email id kisi ne use karke fake account banaya hai. Maine Instagram se email dekha tha. Mera personal data ab kisi ke paas hai, mujhe dar hai ki wo misuse karega."
393,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek email mila jo kisi government office se aayi thi, unhone mere personal details maange. Yeh fake lag raha tha, lekin mujhe dar hai ki koi aur isme phas jaaye."
1057,Online and Social Media Related Crime,Provocative Speech for unlawful acts,I found a video of myself shared on social media without my consent. The person who posted it is threatening to share more if I don't comply with their demands.
629,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera email account hack ho gaya hai. Kisi ne mujhe ek link bheja tha aur maine us par click kiya. Ab mera account control mein nahi hai.
828,Online Cyber Trafficking,Online Trafficking,Kisi ne mujhe ek fake job offer diya aur bola ki mujhe unhe advance payment karna padega. Main samajh nahi paa raha ki ye sab kya hai.
616,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera Facebook ID kisi ne hack kar liya hai. Usne mera naam badal diya hai aur meri photos delete kar di hain. Main kya karoon?
323,Online and Social Media Related Crime,EMail Phishing,"I received a phishing email that looks like it’s from my credit card company, asking for my account number. I didn’t respond, but I’m scared."
268,Online and Social Media Related Crime,Intimidating Email,Mujhe ek email aayi hai jisme koi mujhe blackmail kar raha hai. Woh keh raha hai ki uske paas meri kuch personal information hai aur woh paisa maang raha hai. Main kya karun?
983,Cyber Terrorism,Cyber Terrorism,"Mujhe ek loan app se paise chahiye the, lekin ab wo log mujhe dhamki de rahe hain ki agar maine unhe paise nahi diye toh wo mere contacts ko call karenge. Main bahut pareshan hoon, please madad karein."
1158,Hacking  Damage to computercomputer system etc,Email Hacking,"I received a call from someone claiming to be from my bank, saying they need to verify my email. I think they hacked my account. Please help me report this incident."
1363,Online Gambling  Betting,Online Gambling  Betting,Mujhe ek message aaya ki agar main paise deposit karoon toh cash prizes jeet sakta hoon. Unhone fake testimonials share kiye. Maine ₹5000 kho diye. Kripya action lein!
1382,Online Gambling  Betting,Online Gambling  Betting,Someone messaged me on WhatsApp saying I can earn money by betting on games. They asked for my bank details. I think it's a fraud. Need help!
1478,Child Pornography CPChild Sexual Abuse Material CSAM,,"Maine ek link dekha jo explicit content share kar raha hai aur mujhe yeh report karna hai. Yeh bilkul unacceptable hai, please action lo."
1360,Online Gambling  Betting,Online Gambling  Betting,Mujhe ek call aayi thi jisme bola gaya ki maine lottery jeeti hai. Unhone mere bank details maange. Mujhe lagta hai ye scam hai. Kripya madad karein!
1399,Online Gambling  Betting,Online Gambling  Betting,Maine ek online gambling app mein ₹3000 kho diye. Unhone quick returns ka vaada kiya par ab wo respond nahi kar rahe. Kripya meri madad karein!
181,Ransomware,Ransomware,"I received a suspicious email and clicked on a link, which led to a ransomware infection. Now, all my files are encrypted, and the hackers are demanding payment for the decryption key. I need urgent help to recover my data."
696,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera YouTube account hack ho gaya hai. Koi meri videos ko delete kar raha hai aur mujhe access nahi mil raha. Please help me.
847,Online Cyber Trafficking,Online Trafficking,"Ek unknown number se mujhe call aaya, wo mujhe blackmail kar raha hai ki agar maine paise nahi diye toh meri private photos sabko bhej dega."
1041,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek video call aayi jisme ek ladki ne mujhe nude dikhaya aur ab voh mujhe blackmail kar rahi hai. Main bahut tension mein hoon. Kya karun?
138,Ransomware,Ransomware,"Mujhe ek message aaya tha jisme bola gaya ki mere files encrypt ho gaye hain. Maine unhe contact kiya, lekin ab tak koi response nahi mila. Main bahut chinta mein hoon, please meri madad karein."
4,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"There is a WhatsApp group called ""India Against India"" where members are sharing anti-national messages and videos. They are discussing ways to disrupt peace in our country. Please take this seriously and act against them."
652,Hacking  Damage to computercomputer system etc,Website DefacementHacking,I received a message from a friend asking me to verify my Facebook account. I clicked on the link and now I can't log in. Please help me get my account back.
1036,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek unknown number se baar baar call aa raha hai aur voh mujhe gandi galiyaan de raha hai. Maine unhe block kar diya hai lekin phir bhi naye numbers se call aa rahe hain. Kripya meri madad karein.
1302,Online Gambling  Betting,Online Gambling  Betting,"Ek aadmi mujhe call karke keh raha tha ki agar main unhe paise doon toh mujhe double milenge. Maine unki baatein maani aur paise bheje, ab mujhe samajh aaya ki yeh scam hai."
277,Online and Social Media Related Crime,Intimidating Email,"Koi mujhe baar baar emails bhej raha hai jisme woh mujhe dhamki de raha hai ki agar maine paisa nahi diya toh woh meri khudai kar dega. Main bahut dar rahi hoon, please meri madad karein."
521,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,Mera Gmail hack ho gaya hai. Koi mujhe baar baar call karke mera password badalne ki koshish kar raha hai. Uska naam hai Rahul aur wo Delhi se hai. Kripya meri madad karein.
492,Online and Social Media Related Crime,Impersonating Email,"I got a suspicious email that looked like it was from my company's IT department. They asked for my login details. I didn’t provide anything, but I’m worried about others who might."
432,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
1049,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Ek ladki ne mujhe video call kiya aur phir mujhe blackmail karne lagi. Maine uska number block kar diya lekin ab voh naye number se mujhe pareshan kar rahi hai. Mujhe help chahiye.
1349,Online Gambling  Betting,Online Gambling  Betting,"Sir, main ek gambling site par gaya tha jahan mujhe paise jeetne ka mauka mila. Maine bahut paise invest kiye, lekin ab mujhe kuch nahi mil raha. Please help!"
865,Online Cyber Trafficking,Online Trafficking,"Kisi ne mujhe call kiya aur bola ki wo bank se hain, unhone mere OTP maange. Maine nahi diya, par ab wo mujhe pareshan kar rahe hain. Kya karun?"
1458,Child Pornography CPChild Sexual Abuse Material CSAM,,I found a disturbing account on Instagram that is sharing explicit images of minors. This needs to be reported and taken down immediately.
799,Online and Social Media Related Crime,Online Matrimonial Fraud,"Hello, I was chatting with a girl on a matrimonial app who said her name is Tara. She asked for money to pay for her brother's wedding. I sent her Rs. 6,000, but now she is not responding. I suspect fraud."
878,Online Cyber Trafficking,Online Trafficking,"Ek aadmi Instagram par mujhe paise bhejne ke liye keh raha hai, warna wo meri photos leak karne ki dhamki de raha hai. Main kya karun?"
297,Online and Social Media Related Crime,Intimidating Email,"Koi mujhe baar baar emails bhej raha hai jisme woh mujhe dhamki de raha hai ki agar maine paisa nahi diya toh woh meri khudai kar dega. Main bahut dar rahi hoon, please meri madad karein."
722,Online and Social Media Related Crime,Online Matrimonial Fraud,"I met a girl on a matrimonial site who seemed perfect. After chatting for a week, she asked for money to help her with a loan. I transferred Rs 22,000, but now she has disappeared. Please take action against her."
984,Cyber Terrorism,Cyber Terrorism,"Kuch din pehle mujhe ek message aaya tha ki maine koi prize jeeta hai. Jab maine unse baat ki, toh unhone mere bank details maange. Ab mujhe lagta hai ki ye log mujhe fraud kar rahe hain."
928,Cyber Terrorism,Cyber Terrorism,"Maine ek travel agency se ticket book kiya tha, lekin ab wo log mujhe aur paisa dene ke liye keh rahe hain. Maine refund maanga, lekin ab tak kuch nahi mila. Kya aap meri madad kar sakte hain?"
354,Online and Social Media Related Crime,EMail Phishing,"My friend got an email that looked like it was from a government agency, asking for personal details. It seems fake, and I’m worried it could be a scam. Please investigate."
1055,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"I received a message on Facebook from someone claiming to be a loan provider, but they are sending me inappropriate content. I want to report this."
1380,Online Gambling  Betting,Online Gambling  Betting,I received a call from someone claiming I won a lottery. They asked for my bank details and Aadhar number to transfer the money. I feel it's a scam. Please help!
739,Online and Social Media Related Crime,Online Matrimonial Fraud,"I found a profile on a matrimonial site and started talking to a girl named Kavita. She asked me to send money for her visa application. I sent her Rs 28,000, but now she is not responding. Please help me."
108,Ransomware,Ransomware,"Mujhe ek message aaya tha jisme bola gaya ki mere files encrypt ho gaye hain. Maine unhe contact kiya, lekin ab tak koi response nahi mila. Main bahut chinta mein hoon, please meri madad karein."
1119,Hacking  Damage to computercomputer system etc,Email Hacking,Mera email account hack ho gaya hai aur mujhe har din naye spam emails mil rahe hain. Main password change karne ki koshish kar raha hoon lekin koi fayda nahi ho raha. Kripya madad karein.
1353,Online Gambling  Betting,Online Gambling  Betting,I got a message saying I can win cash prizes if I deposit money first. They shared fake testimonials. I lost ₹5000. Please take action!
587,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,My computer has been acting strange since I downloaded a new software. I suspect it has malware. I need help to remove it.
329,Online and Social Media Related Crime,EMail Phishing,"I received a call from someone claiming to be from a tech company, asking for my computer access to fix an issue. I didn’t give them anything, but I’m worried."
1256,Online Financial Fraud,Business Email CompromiseEmail Takeover,"I got an email from a fake supplier asking for payment for goods that were never delivered. After I paid, they stopped communicating. I want to report this fraud to prevent others from falling victim."
1051,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Someone is sending me abusive messages on Instagram, saying they will ruin my reputation if I don't respond. I am very scared and need assistance."
728,Online and Social Media Related Crime,Online Matrimonial Fraud,"I found a girl on a matrimonial site who seemed very nice. After a few days, she asked for money for her brother's wedding. I sent her Rs 20,000, but now she is not responding. Please help me recover my money."
141,Ransomware,Ransomware,"Mere computer par ek ransomware attack hua hai, sabhi files encrypt ho gaye hain. Mujhe bahut zaroori documents chahiye, lekin ab main unhe access nahi kar pa raha hoon. Kya aap meri madad kar sakte hain?"
472,Online and Social Media Related Crime,Impersonating Email,"Someone sent me an email pretending to be my project manager. They asked for money to pay a vendor. I didn’t transfer anything, but I want to report this fraud."
1077,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"I received a message on Facebook from someone claiming to be a loan provider, but they are sending me inappropriate content. I want to report this."
920,Cyber Terrorism,Cyber Terrorism,"Maine ek travel agency se ticket book kiya tha, lekin ab wo log mujhe aur paisa dene ke liye keh rahe hain. Maine refund maanga, lekin ab tak kuch nahi mila. Kya aap meri madad kar sakte hain?"
1403,Child Pornography CPChild Sexual Abuse Material CSAM,,"Koi mujhe WhatsApp par har roz message karke meri private photos maang raha hai. Agar nahi di toh wo mujhe dhamki de raha hai. Yeh bahut serious hai, please help."
796,Online and Social Media Related Crime,Online Matrimonial Fraud,"I found a profile on a matrimony app and started talking to a girl named Nisha. She asked for money to pay for her education. I sent her Rs. 14,000, but now I think it was a fraud. Please help me."
907,Cyber Terrorism,Cyber Terrorism,"Ek aadmi mujhe WhatsApp par message karke keh raha hai ki uske paas meri personal photos hain aur agar main paisa nahi doonga, toh wo unhe sabko dikha dega. Yeh bahut serious hai!"
968,Cyber Terrorism,Cyber Terrorism,"Mujhe ek loan app se paise chahiye the, lekin ab wo log mujhe dhamki de rahe hain ki agar maine unhe paise nahi diye toh wo mere contacts ko call karenge. Main bahut pareshan hoon, please madad karein."
491,Online and Social Media Related Crime,Impersonating Email,"Mujhe ek email aayi thi jisme kisi ne mere boss ka naam use kiya. Usne mujhe bola ki mujhe turant paise transfer karne hain. Jab maine apne boss se baat ki, toh pata chala ki usne mujhe email nahi kiya tha."
213,Online and Social Media Related Crime,Intimidating Email,I am getting continuous threatening emails from an unknown sender. They are saying they will harm my family if I don’t comply. The email ID is dangeralert123@gmail.com. Please take action.
912,Cyber Terrorism,Cyber Terrorism,"Maine ek travel agency se ticket book kiya tha, lekin ab wo log mujhe aur paisa dene ke liye keh rahe hain. Maine refund maanga, lekin ab tak kuch nahi mila. Kya aap meri madad kar sakte hain?"
1325,Online Gambling  Betting,Online Gambling  Betting,"Mujhe ek call aayi thi jisme bola gaya tha ki agar main paise doon toh mujhe double milenge. Maine unki baatein maani aur paise bheje, ab mujhe samajh aaya ki yeh scam hai."
779,Online and Social Media Related Crime,Online Matrimonial Fraud,"Hello, I was chatting with a girl on a matrimonial app who said her name is Tara. She asked for money to pay for her brother's wedding. I sent her Rs. 6,000, but now she is not responding. I suspect fraud."
1461,Child Pornography CPChild Sexual Abuse Material CSAM,,"Koi mujhe Instagram par harass kar raha hai, keh raha hai ki uske paas meri private pictures hain. Woh paisa maang raha hai mujhe blackmail karne ke liye. Help chahiye."
310,Online and Social Media Related Crime,EMail Phishing,"I got an email that looks like it’s from my internet service provider, asking for my login details. I didn’t click any links, but I’m concerned. Please help!"
829,Online Cyber Trafficking,Online Trafficking,Mujhe ek WhatsApp message aaya jisme bola gaya ki mujhe apne bank details dene hain. Agar nahi diya toh mere account se paise nikaal lenge.
695,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"I clicked on a link sent by a friend on WhatsApp, and now my Instagram account is hacked. I need help to get it back."
589,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,My online banking app is showing unauthorized transactions. I believe my account has been hacked. Please help me secure it.
991,Cyber Terrorism,Cyber Terrorism,"Kuch din pehle mujhe ek message aaya tha ki maine koi prize jeeta hai. Jab maine unse baat ki, toh unhone mere bank details maange. Ab mujhe lagta hai ki ye log mujhe fraud kar rahe hain."
179,Ransomware,Ransomware,"I was using my computer when a ransomware virus attacked and encrypted all my files. The ransom note says I need to pay to get my data back. This is very important for my business, and I need assistance in recovering my files."
41,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I found a video on TikTok where a user named Priyanka Yadav is mocking our national leaders and encouraging others to do the same. This is disrespectful and harmful to our country's image. Please take action against such content.
1443,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek aadmi mujhe Facebook par har waqt harass kar raha hai aur keh raha hai ki agar main usse nahi milti toh wo meri photos viral kar dega. Yeh bahut serious hai, please madad karein."
1287,Online Financial Fraud,Business Email CompromiseEmail Takeover,"I was contacted by a person on social media who promised to help me with a loan. They asked for a processing fee. After I paid, they vanished. I want to report this fraud."
868,Online Cyber Trafficking,Online Trafficking,"Mujhe ek unknown number se message aaya hai jisme bola gaya ki mujhe apne account ko secure karne ke liye details deni hain. Maine nahi diya, par ab wo mujhe dhamki de rahe hain."
1068,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"I received a message on WhatsApp from an unknown number, threatening to share my personal photos if I don't pay them money. Please help me with this issue."
10,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I found a video on YouTube where a person named Sameer Khan is discussing how to undermine the sovereignty of India. He is promoting anti-national activities. This is alarming. Please take necessary action.
1106,Hacking  Damage to computercomputer system etc,Email Hacking,"Mujhe kisi ne call kiya aur bola ki mujhe loan chukana hai, jabki maine kabhi loan nahi liya. Mujhe lagta hai ki mera email id hack ho gaya hai. Main bahut pareshan hoon."
1326,Online Gambling  Betting,Online Gambling  Betting,"Sir, mujhe ek app ke through gambling ka shauk laga tha, lekin ab mujhe samajh aaya ki yeh sab fraud hai. Maine bahut paise kho diye hain. Kya aap meri madad kar sakte hain?"
1337,Online Gambling  Betting,Online Gambling  Betting,"Maine ek online game khela tha jisme mujhe paise jeetne ka mauka mila. Maine paise invest kiye, lekin ab mujhe kuch nahi mil raha. Kya aap meri madad kar sakte hain?"
1120,Hacking  Damage to computercomputer system etc,Email Hacking,Mujhe pata chala ki mera email id kisi ne use karke fraud kiya hai. Main bahut pareshan hoon aur mujhe samajh nahi aa raha kya karun. Kripya madad karein.
1168,Hacking  Damage to computercomputer system etc,Email Hacking,"Mera email ID hack ho gaya hai, aur ab mujhe login karne ka option nahi mil raha. Kripya meri madad karein, mujhe bahut pareshani ho rahi hai."
510,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,Mujhe ek loan app se paise milne ke baad wo log mujhe har waqt call kar rahe hain. Unhone meri personal details leak kar di hain. Kripya kuch karein.
275,Online and Social Media Related Crime,Intimidating Email,Koi mujhe emails bhej raha hai jisme woh mujhe dhamki de raha hai ki uske paas meri personal photos hain. Woh paisa maang raha hai. Main bahut pareshan hoon aur madad chahiye.
200,Online and Social Media Related Crime,Intimidating Email,I have been receiving threatening emails from someone claiming to have sensitive information about me. They are demanding money to keep quiet. Please help me take action against this person. The email ID is blackmailer123@gmail.com.
816,Online Cyber Trafficking,Online Trafficking,Mujhe ek suspicious link mila tha jisme bola gaya tha ki mujhe apna KYC update karna hai. Main isse lekar bahut pareshan hoon.
7,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I saw a TikTok video where a user named Priya Verma is mocking our national flag and encouraging others to do the same. This is disrespectful and harmful to our country's image. Please take action against such content.
90,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"Ek video mila mujhe Facebook par jisme ek aadmi, Ramesh, desh ke khilaf bhashan de raha hai. Woh hinsa ko badhava de raha hai. Kripya is par action lein."
429,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
496,Online and Social Media Related Crime,Impersonating Email,"I got an email from a fake account pretending to be my colleague. They asked for my bank details for a project. I didn’t share anything, but I want to report this."
271,Online and Social Media Related Crime,Intimidating Email,Someone is sending me intimidating emails claiming they have evidence against me. They are demanding money to keep it a secret. I feel very anxious and need assistance.
150,Ransomware,Ransomware,"I was working on my laptop when suddenly a ransomware attack occurred. All my important files, including documents and photos, got encrypted. The message on my screen asked for a Bitcoin payment to unlock my data. I need help recovering my files as they are crucial for my work."
346,Online and Social Media Related Crime,EMail Phishing,"I received a message on WhatsApp saying I need to verify my account, but it looks suspicious. I didn’t click any links, but I’m worried."
1280,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Ek fake company ne mujhe email kiya tha jismein unhone mujhe loan ke liye paise dene ko bola. Maine paise diye, lekin ab wo mujhe ignore kar rahe hain. Yeh fraud hai, mujhe report karna hai."
386,Online and Social Media Related Crime,EMail Phishing,"I got a message on Instagram from someone claiming to be a celebrity. They asked for my personal details for a giveaway. I didn’t share anything, but it felt suspicious."
1128,Hacking  Damage to computercomputer system etc,Email Hacking,Mujhe ek email aayi thi jismein bola gaya ki mera account hack ho gaya hai. Maine password change kiya lekin phir bhi mujhe emails mil rahe hain. Kripya dekhein is par.
915,Cyber Terrorism,Cyber Terrorism,"Ek aadmi mujhe WhatsApp par message karke keh raha hai ki uske paas meri personal photos hain aur agar main paisa nahi doonga, toh wo unhe sabko dikha dega. Yeh bahut serious hai!"
282,Online and Social Media Related Crime,Intimidating Email,I received a threatening email from an unknown sender who claims to have compromising information about me. They are asking for money to keep quiet. I am worried and need help.
512,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Sir, mujhe kisi ne blackmail kiya hai. Usne meri personal photos aur videos ko leak karne ki dhamki di hai. Uska number ye hai: 9876543210. Kripya is par action lein."
844,Online Cyber Trafficking,Online Trafficking,Ek aadmi mujhe keh raha hai ki wo mera dost hai aur mujhe paise bhejne ke liye keh raha hai. Usne mere personal details maange hain. Main isse bahut pareshan hoon.
1472,Child Pornography CPChild Sexual Abuse Material CSAM,,"I found a disturbing video in a group chat that involves minors. It’s really upsetting, and I want to report it. Please take action against this content."
252,Online and Social Media Related Crime,Intimidating Email,I received an email from an unknown sender claiming to have compromising photos of me. They are threatening to share them unless I pay a sum of money. I am worried and need assistance.
148,Ransomware,Ransomware,"Mujhe ek message aaya tha jisme bola gaya ki mere files encrypt ho gaye hain. Maine unhe contact kiya, lekin ab tak koi response nahi mila. Main bahut chinta mein hoon, please meri madad karein."
1297,Online Financial Fraud,Business Email CompromiseEmail Takeover,Mujhe ek online store se kuch saman order kiya tha aur maine advance payment ki thi. Lekin unhone mujhe kuch nahi bheja. Kripya mujhe is fraud ke khilaf report karne mein madad karein.
954,Cyber Terrorism,Cyber Terrorism,"I received a call from an unknown number saying I won a prize. They asked for my bank details, and now I think they are trying to scam me. I need help to report this fraud."
1331,Online Gambling  Betting,Online Gambling  Betting,"Sir, mujhe ek app ke through gambling ka shauk laga tha, lekin ab mujhe samajh aaya ki yeh sab fraud hai. Maine bahut paise kho diye hain. Kya aap meri madad kar sakte hain?"
214,Online and Social Media Related Crime,Intimidating Email,I received an email from a person named Priya who is threatening to share my private photos unless I pay her. I am really scared. The email ID is priya.blackmail@gmail.com. Please help!
946,Cyber Terrorism,Cyber Terrorism,"Mujhe ek app se loan mila tha, ab wo log mujhe har din pareshan kar rahe hain. Unhone mere dost logon ko bhi call kiya hai aur unhe dhamki di hai. Kya aap meri madad kar sakte hain?"
125,Ransomware,Ransomware,"Mere laptop par ransomware ne attack kiya hai aur sabhi files encrypt ho gaye hain. Mujhe bahut zaroori data chahiye, lekin main unhe recover nahi kar pa raha hoon. Kya aap meri madad kar sakte hain?"
28,Report Unlawful Content,Against Interest of sovereignty or integrity of India,There is a blog post by a user named Anil Gupta that is spreading misinformation about the Indian government and its policies. He is trying to create distrust among the citizens. This is against the interest of our nation. Please look into it.
1007,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek Facebook link mila jisme mere photo ke sath badtameezi ki gayi hai. Yeh sab social media par faila rahe hain. Main bahut pareshan hoon.
871,Online Cyber Trafficking,Online Trafficking,"Someone is messaging me on Facebook, pretending to be a friend. They are asking for money for an emergency. I feel something is wrong. Please assist me!"
186,Ransomware,Ransomware,"Maine ek file download ki thi aur uske baad mera computer ransomware se infect ho gaya. Ab sab files lock ho gayi hain aur hackers ransom maang rahe hain. Mujhe apne data ki zaroorat hai, please help."
1471,Child Pornography CPChild Sexual Abuse Material CSAM,,Someone is using my pictures on social media and blackmailing me for money. They say they will ruin my reputation if I don’t comply. Please take action against this.
505,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mujhe kisi ne call karke kaha ki wo mere computer ko hack karne wale hain. Mera data bahut sensitive hai, please meri madad karein."
